 entropy p
 189352.0147052054 357679.4376366494
 189583.80984780635 348224.0107141536
 189821.7242433503 338768.58379165776
 190066.10518578673 329313.15686916193
 190317.33032355132 319857.7299466661
 190575.81130402104 310402.3030241703
 190841.99798188976 300946.87610167445
 191116.38329952542 291491.4491791786
 191399.5089723294 282036.0222566828
 191691.9721438896 272580.595334187
 191994.43321646925 263125.16841169115
 192307.6251150662 253669.74148919532
 192632.36431199318 244214.3145666995
 192969.56402937367 234758.88764420367
 193320.25015716744 225303.46072170784
 193685.58058583186 215848.03379921202
 194066.8688721587 206392.6068767162
 194465.61345867903 196937.17995422037
 194883.53408786026 187481.75303172454
 195322.61764762714 178026.3261092287
 195785.1765403791 168570.8991867329
 196273.9239191608 159115.47226423706
 196792.072000712 149660.04534174124
 197343.46250764388 140204.6184192454
 197932.74272625713 130749.19149674958

 95143.15903399407 515896.12736229884
 95115.88444300422 1454806.2564502193
 95088.72327191284 2393716.38553814
 95061.67447059938 3332626.51462606
 95034.7370042828 4271536.643713981
 95007.90985322197 5210446.772801901
 94981.19201242158 6149356.9018898215
 94954.58249132609 7088267.030977742
 94928.0803135598 8027177.160065662
 94901.6845166257 8966087.289153583
 94875.39415164651 9904997.418241505
 94849.20828309847 1.0843907547329426E7
 94823.125988554 1.1782817676417347E7
 94797.14635843052 1.2721727805505268E7
 94771.26849574593 1.366063793459319E7
 94745.49151587914 1.459954806368111E7
 94719.81454633654 1.5538458192769032E7
 94694.23672652499 1.6477368321856953E7
 94668.75720752924 1.7416278450944874E7
 94643.37515189452 1.8355188580032796E7
 94618.08973341534 1.9294098709120717E7
 94592.90013692834 2.0233008838208638E7
 94567.80555810977 2.117191896729656E7
 94542.80520327884 2.211082909638448E7
 94517.89828920427 2.30497392254724E7
 94493.08404291648 2.3988649354560323E7
 94468.3617015228 2.4927559483648244E7
 94443.73051202812 2.5866469612736166E7
 94419.18973115907 2.6805379741824087E7
 94394.73862519192 2.7744289870912008E7

 186896.84213157173 515896.12736229884
 187123.8038397099 502742.715269364
 187356.43478085994 489589.3031764292
 187595.04521437935 476435.89108349435
 187839.97145168218 463282.4789905595
 188091.57885860433 450129.0668976247
 188350.26530312124 436975.65480468987
 188616.4651301211 423822.24271175504
 188890.65376297684 410668.8306188202
 189173.35305440286 397515.4185258854
 189465.1375379476 384362.00643295055
 189766.64176838976 371208.5943400157
 190078.5689868804 358055.1822470809
 190401.70140850727 344901.77015414607
 190736.91251104168 331748.35806121124
 191085.18181097752 318594.9459682764
 191447.61275657045 305441.5338753416
 191825.4545618017 292288.12178240676
 192220.1290710365 279134.7096894719
 192633.26411278112 265981.2975965371
 193066.73531935262 252827.88550360227
 193522.71912960915 239674.47341066744
 194003.76076709048 226521.06131773262
 194512.86257665654 213367.6492247978
 195053.6005049026 200214.23713186296
 195630.28022085238 187060.82503892813
 196248.15025521614 173907.4129459933
 196913.69913046528 160754.00085305847
 197635.0796232996 147600.58876012365
 198422.73159462214 134447.17666718882
 199290.32653490838 121293.76457425399

 96909.61058881182 649830.5006913895
 96880.7206236902 1584276.1506683403
 96851.95916230133 2518721.800645291
 96823.32492921279 3453167.4506222415
 96794.81666898286 4387613.100599192
 96766.4331457309 5322058.750576143
 96738.17314277554 6256504.400553094
