 enthalpy p
 -1.7257248460753602E8 129609.3689230087
 -1.725711484607457E8 129263.74393921401
 -1.7256981268965507E8 128918.11895541931
 -1.7256847729393768E8 128572.49397162462
 -1.7256714227326745E8 128226.86898782992
 -1.725658076273189E8 127881.24400403522
 -1.7256447335576692E8 127535.61902024053
 -1.72563139458287E8 127189.99403644583
 -1.7256180593455493E8 126844.36905265113
 -1.7256047278424707E8 126498.74406885644
 -1.7255914000704026E8 126153.11908506174
 -1.7255780760261172E8 125807.49410126705
 -1.7255647557063925E8 125461.86911747235
 -1.7255514391080102E8 125116.24413367765
 -1.7255381262277567E8 124770.61914988296

 -2.0275420712855935E8 153802.63097397672
 -2.0274999070034838E8 239007.5651996263
 -2.027457388673954E8 324212.49942527583
 -2.0274145198492178E8 409417.4336509254
 -2.0273713040273723E8 494622.367876575
 -2.027327744653485E8 579827.3021022246
 -2.0272838451206905E8 665032.2363278741
 -2.0272396087712446E8 750237.1705535237
 -2.0271950388975608E8 835442.1047791733
 -2.0271501387430903E8 920647.0390048228
 -2.0271049115039018E8 1005851.9732304724
 -2.027059360328441E8 1091056.9074561219
 -2.0270134883196518E8 1176261.8416817714
 -2.026967298535291E8 1261466.775907421
 -2.02692079398893E8 1346671.7101330706
 -2.026873977650817E8 1431876.6443587202
 -2.02682685244872E8 1517081.5785843697
 -2.0267794212687448E8 1602286.5128100193
 -2.0267316869561404E8 1687491.4470356689
 -2.0266836523160738E8 1772696.3812613185
 -2.0266353201143992E8 1857901.315486968
 -2.0265866930783972E8 1943106.2497126176
 -2.026537773897503E8 2028311.1839382672
 -2.026488565224018E8 2113516.1181639167
 -2.0264390696737966E8 2198721.0523895663
 -2.0263892898269275E8 2283925.986615216
 -2.026339228228391E8 2369130.9208408655
 -2.0262888873887062E8 2454335.855066515
 -2.026238269784558E8 2539540.7892921646
 -2.0261873778594163E8 2624745.723517814
 -2.0261362140241328E8 2709950.6577434638
 -2.0260847806575325E8 2795155.5919691133
 -2.026033080106987E8 2880360.526194763
 -2.025981114688974E8 2965565.4604204125
 -2.025928886689627E8 3050770.394646062
 -2.025876398365273E8 3135975.3288717116
 -2.0258236519429547E8 3221180.263097361
 -2.025770649620945E8 3306385.197323011
 -2.025717393569247E8 3391590.1315486603
 -2.0256638859300852E8 3476795.06577431
 -2.0256101288183847E8 3561999.9999999595

 -1.7184955887701932E8 153802.63097397672
 -1.718467184033124E8 153068.19005377952
 -1.7184387962742585E8 152333.7491335823
 -1.7184104254622638E8 151599.3082133851
 -1.7183820715659037E8 150864.8672931879
 -1.7183537345540375E8 150130.4263729907
 -1.7183254143956187E8 149395.9854527935
 -1.7182971110596976E8 148661.5445325963
 -1.7182688245154178E8 147927.1036123991
 -1.7182405547320172E8 147192.6626922019
 -1.7182123016788277E8 146458.2217720047
 -1.7181840653252742E8 145723.7808518075
 -1.7181558456408748E8 144989.3399316103
 -1.71812764259524E8 144254.8990114131
 -1.718099456158072E8 143520.4580912159
 -1.7180712862991652E8 142786.0171710187
 -1.7180431329884055E8 142051.5762508215
 -1.71801499619577E8 141317.1353306243
 -1.717986875891325E8 140582.6944104271
 -1.717958772045228E8 139848.2534902299
 -1.7179306846277267E8 139113.8125700327
 -1.7179026136091575E8 138379.3716498355
 -1.7178745589599463E8 137644.9307296383
 -1.7178465206506073E8 136910.4898094411
 -1.7178184986517432E8 136176.0488892439
 -1.7177904929340446E8 135441.6079690467
 -1.71776250346829E8 134707.1670488495
 -1.717734530225345E8 133972.72612865228
 -1.717706573176161E8 133238.28520845508
 -1.7176786322917777E8 132503.84428825788
 -1.7176507075433198E8 131769.40336806068
 -1.7176227989019978E8 131034.96244786348
 -1.7175949063391078E8 130300.52152766628
 -1.717567029826031E8 129566.08060746908
 -1.7175391693342334E8 128831.63968727188
 -1.717511324835265E8 128097.19876707467
 -1.71748349630076E8 127362.75784687747
 -1.7174556837024364E8 126628.31692668027
 -1.7174278870120952E8 125893.87600648307
 -1.7174001062016207E8 125159.43508628587
 -1.7173723412429798E8 124424.99416608867

 -2.0171669682213804E8 170689.04412878273
 -2.0171290128614557E8 255471.81802556216
 -2.0170906703450227E8 340254.5919223416
 -2.0170519447130078E8 425037.365819121
 -2.0170128399422148E8 509820.1397159004
 -2.0169733599466652E8 594602.9136126798
 -2.0169335085789606E8 679385.6875094592
 -2.016893289631584E8 764168.4614062386
 -2.016852706838161E8 848951.235303018
 -2.0168117638746968E8 933734.0091997974
 -2.0167704643607935E8 1018516.7830965768
 -2.0167288118607888E8 1103299.5569933562
 -2.016686809884924E8 1188082.3308901356
 -2.0166444618904454E8 1272865.104786915
 -2.016601771282683E8 1357647.8786836944
 -2.0165587414161035E8 1442430.6525804738
 -2.0165153755953413E8 1527213.4264772532
 -2.016471677076197E8 1611996.2003740326
 -2.0164276490666106E8 1696778.974270812
 -2.0163832947276148E8 1781561.7481675914
 -2.01633861717426E8 1866344.5220643708
 -2.0162936194765177E8 1951127.2959611502
 -2.016248304660164E8 2035910.0698579296
 -2.0162026757076362E8 2120692.843754709
 -2.0161567355588725E8 2205475.6176514886
 -2.0161104871121308E8 2290258.391548268
 -2.016063933224785E8 2375041.1654450474
 -2.0160170767141056E8 2459823.939341827
 -2.015969920358017E8 2544606.713238606
 -2.0159224668958437E8 2629389.4871353856
 -2.0158747190290305E8 2714172.261032165
 -2.0158266794218513E8 2798955.0349289444
 -2.0157783507021004E8 2883737.808825724
 -2.0157297354617652E8 2968520.582722503
 -2.015680836257686E8 3053303.3566192826
 -2.0156316556121987E8 3138086.130516062
 -2.015582196013763E8 3222868.9044128414
 -2.015532459917577E8 3307651.678309621
 -2.0154824497461766E8 3392434.4522064
