 enthalpy volume pressure temperature
 -2.3746638333857942E8 21.549512363645142 163874.63107881218 428.8697500000002

 -2.3752037295925435E8 5.362927353315142 649830.5006913927 435.4840000000002
 -2.3748869808540317E8 5.856781585944695 596976.8270796788 435.4840000000002
 -2.3745720683868334E8 6.446466315196479 544123.153467965 435.4840000000002
 -2.3742589596673805E8 7.162913758605371 491269.47985625104 435.4840000000002
 -2.3739476231201923E8 8.051972324984112 438415.8062445372 435.4840000000002
 -2.3736380280796304E8 9.184630333132901 385562.1326328233 435.4840000000002
 -2.3733301447536206E8 10.67698449777086 332708.4590211094 435.4840000000002
 -2.3730239441892096E8 12.732836032707215 279854.7854093955 435.4840000000002
