 gibbs p
 -3.142760145009225E8 181353.12322326234
 -3.143116437509804E8 179351.14460162874
 -3.143476785554244E8 177349.16597999513
 -3.1438412812111354E8 175347.18735836152
 -3.144210019720827E8 173345.20873672792
 -3.144583099642807E8 171343.2301150943
 -3.144960623011755E8 169341.2514934607
 -3.145342695502856E8 167339.2728718271
 -3.1457294266070795E8 165337.2942501935
 -3.146120929817127E8 163335.31562855988
 -3.146517322824851E8 161333.33700692627
 -3.1469187277309936E8 159331.35838529267
 -3.147325271268195E8 157329.37976365906
 -3.1477370850382733E8 155327.40114202545
 -3.1481543057649076E8 153325.42252039185
 -3.148577075562913E8 151323.44389875824
 -3.1490055422254604E8 149321.46527712463
 -3.149439859530676E8 147319.48665549103
 -3.1498801875692177E8 145317.50803385742
 -3.1503266930945766E8 143315.5294122238
 -3.15077954989802E8 141313.5507905902
 -3.15123893921028E8 139311.5721689566
 -3.151705050132327E8 137309.593547323
 -3.1521780800977683E8 135307.61492568938
 -3.152658235369723E8 133305.63630405578
 -3.153145731575286E8 131303.65768242217
 -3.1536407942810607E8 129301.67906078856
 -3.1541436596135944E8 127299.70043915496
 -3.154654574928997E8 125297.72181752135
 -3.15517379953649E8 123295.74319588774
 -3.155701605481181E8 121293.76457425414

 -3.1505760590553445E8 240335.51841892547
 -3.150356974512974E8 1188431.0011382916
 -3.1501379588818735E8 2136526.4838576578
 -3.149919011835103E8 3084621.9665770237
 -3.149700133048514E8 4032717.4492963897
 -3.1494813222007215E8 4980812.932015756
 -3.149262578973064E8 5928908.414735123
 -3.1490439030495703E8 6877003.897454489
 -3.1488252941169274E8 7825099.380173855
 -3.148606751864447E8 8773194.862893222
 -3.14838827598403E8 9721290.345612587
 -3.1481698661701375E8 1.0669385828331953E7
 -3.1479515221197593E8 1.1617481311051318E7
 -3.147733243532379E8 1.2565576793770684E7
 -3.14751503010995E8 1.351367227649005E7
 -3.1472968815568584E8 1.4461767759209415E7
 -3.147078797579899E8 1.540986324192878E7
 -3.146860777888243E8 1.6357958724648146E7
 -3.1466428221934104E8 1.7306054207367513E7
 -3.146424930209242E8 1.825414969008688E7
 -3.146207101651873E8 1.9202245172806244E7
 -3.145989336239702E8 2.015034065552561E7
 -3.145771633693368E8 2.1098436138244975E7
 -3.1455539937357235E8 2.204653162096434E7
 -3.1453364160918045E8 2.2994627103683706E7
 -3.145118900488811E8 2.3942722586403072E7
 -3.144901446656078E8 2.4890818069122437E7
 -3.1446840543250513E8 2.5838913551841803E7
 -3.144466723229264E8 2.678700903456117E7
 -3.14424945310431E8 2.7735104517280534E7
 -3.144032243687825E8 2.86831999999999E7

 -3.150576059055345E8 240335.51841892547
 -3.151120582647364E8 236367.45995743643
 -3.151674487640992E8 232399.4014959474
 -3.15223809709934E8 228431.34303445835
 -3.152811751070548E8 224463.2845729693
 -3.1533958077996945E8 220495.22611148027
 -3.153990645050758E8 216527.16764999123
 -3.154596661550859E8 212559.1091885022
 -3.1552142785705936E8 208591.05072701315
 -3.155843941656154E8 204622.9922655241
 -3.15648612253107E8 200654.93380403507
 -3.157141321187907E8 196686.87534254603
 -3.1578100681931484E8 192718.816881057
 -3.158492927231884E8 188750.75841956795
 -3.159190497922875E8 184782.6999580789
 -3.159903418939234E8 180814.64149658987
 -3.160632371475394E8 176846.58303510083
 -3.161378083107557E8 172878.5245736118
 -3.162141332102437E8 168910.46611212275
 -3.1629229522382563E8 164942.40765063372
 -3.1637238382128775E8 160974.34918914468
 -3.164544951727E8 157006.29072765564
 -3.165387328346151E8 153038.2322661666
